#site1    site2      values
0       1      0.054
0       23      0.054
0       24      0.054
0       47      0.054
0       552      0.054
0       553      0.054
1       2      0.054
1       24      0.054
1       25      0.054
1       553      0.054
1       554      0.054
2       3      0.054
2       25      0.054
2       26      0.054
2       554      0.054
2       555      0.054
3       4      0.054
3       26      0.054
3       27      0.054
3       555      0.054
3       556      0.054
4       5      0.054
4       27      0.054
4       28      0.054
4       556      0.054
4       557      0.054
5       6      0.054
5       28      0.054
5       29      0.054
5       557      0.054
5       558      0.054
6       7      0.054
6       29      0.054
6       30      0.054
6       558      0.054
6       559      0.054
7       8      0.054
7       30      0.054
7       31      0.054
7       559      0.054
7       560      0.054
8       9      0.054
8       31      0.054
8       32      0.054
8       560      0.054
8       561      0.054
9       10      0.054
9       32      0.054
9       33      0.054
9       561      0.054
9       562      0.054
10       11      0.054
10       33      0.054
10       34      0.054
10       562      0.054
10       563      0.054
11       12      0.054
11       34      0.054
11       35      0.054
11       563      0.054
11       564      0.054
12       13      0.054
12       35      0.054
12       36      0.054
12       564      0.054
12       565      0.054
13       14      0.054
13       36      0.054
13       37      0.054
13       565      0.054
13       566      0.054
14       15      0.054
14       37      0.054
14       38      0.054
14       566      0.054
14       567      0.054
15       16      0.054
15       38      0.054
15       39      0.054
15       567      0.054
15       568      0.054
16       17      0.054
16       39      0.054
16       40      0.054
16       568      0.054
16       569      0.054
17       18      0.054
17       40      0.054
17       41      0.054
17       569      0.054
17       570      0.054
18       19      0.054
18       41      0.054
18       42      0.054
18       570      0.054
18       571      0.054
19       20      0.054
19       42      0.054
19       43      0.054
19       571      0.054
19       572      0.054
20       21      0.054
20       43      0.054
20       44      0.054
20       572      0.054
20       573      0.054
21       22      0.054
21       44      0.054
21       45      0.054
21       573      0.054
21       574      0.054
22       23      0.054
22       45      0.054
22       46      0.054
22       574      0.054
22       575      0.054
23       46      0.054
23       47      0.054
23       552      0.054
23       575      0.054
24       25      0.054
24       47      0.054
24       48      0.054
24       71      0.054
25       26      0.054
25       48      0.054
25       49      0.054
26       27      0.054
26       49      0.054
26       50      0.054
27       28      0.054
27       50      0.054
27       51      0.054
28       29      0.054
28       51      0.054
28       52      0.054
29       30      0.054
29       52      0.054
29       53      0.054
30       31      0.054
30       53      0.054
30       54      0.054
31       32      0.054
31       54      0.054
31       55      0.054
32       33      0.054
32       55      0.054
32       56      0.054
33       34      0.054
33       56      0.054
33       57      0.054
34       35      0.054
34       57      0.054
34       58      0.054
35       36      0.054
35       58      0.054
35       59      0.054
36       37      0.054
36       59      0.054
36       60      0.054
37       38      0.054
